Benchmark,Algorithms,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Mean,Std
DTLZ2,MOPSOCD,0.484075266,0.439617872,0.46664114,0.454969841,0.468121182,0.4550336,0.462250736,0.42745464,0.4858103,0.485936547,0.444796198,0.430476219,0.473987448,0.476696851,0.463930273,0.432822624,0.467798795,0.475671045,0.434697487,0.447278689,0.448698583,0.478293931,0.46109184,0.488066253,0.477789172,0.470897244,0.466756795,0.441869391,0.467723628,0.447272751,0.460884211,0.017866387
,SMPSO,0.467413775,0.440335265,0.411067679,0.447543844,0.474491654,0.408749469,0.428227954,0.455453016,0.425963239,0.487760093,0.457843867,0.49304177,0.479875896,0.43176613,0.45984108,0.449407463,0.48150036,0.411672543,0.474253372,0.452567917,0.465788906,0.452528362,0.425989843,0.442815571,0.441191294,0.455382361,0.46705839,0.447029924,0.43648275,0.444534098,0.45058593,0.022370008
,dMOPSO,0.400221011,0.355410297,0.36471574,0.377466129,0.331584547,0.377410728,0.392242301,0.365019102,0.374298492,0.384981872,0.336520279,0.366906084,0.356532581,0.381702142,0.353026759,0.403960458,0.371022038,0.383702075,0.35558086,0.366583483,0.355844902,0.374337122,0.415944665,0.350943714,0.347059312,0.353129899,0.389968625,0.36115064,0.389604168,0.39544313,0.371077105,0.020154194
,MOEADD,0.505359956,0.504020146,0.504280973,0.503077085,0.50496849,0.503628614,0.504069692,0.504912386,0.502594542,0.502944398,0.503811051,0.505522825,0.504550427,0.502242879,0.506010244,0.505499376,0.505525863,0.503102362,0.505814249,0.504301285,0.505012274,0.505275681,0.503011734,0.506633085,0.504434175,0.504118287,0.505251702,0.504430402,0.501971042,0.503873673,0.50434163,0.001166807
,RVEA,0.504284676,0.500614562,0.502083189,0.504103841,0.502018867,0.502461298,0.503781103,0.504266387,0.500597805,0.499372194,0.504644042,0.502769083,0.501614735,0.501239771,0.504256774,0.504816622,0.504006748,0.501623652,0.503649303,0.50288227,0.503369157,0.503354345,0.50371502,0.50507165,0.502592001,0.504200696,0.502320001,0.503682221,0.503711008,0.502628848,0.502991062,0.001390064
,PESAII,0.528027157,0.504452435,0.52468352,0.508203889,0.49953205,0.517616089,0.500291571,0.497845626,0.500935292,0.514386582,0.518033388,0.526352611,0.520847618,0.515488486,0.505083214,0.512673972,0.503974777,0.519826391,0.510372156,0.498753498,0.495775506,0.51844424,0.500688082,0.508767608,0.50321551,0.515700055,0.500903395,0.514684647,0.503021703,0.515595135,0.510139207,0.009248699
,RLT-MOPSO,0.537952401,0.534344767,0.543046016,0.538630073,0.543086105,0.530896297,0.538762316,0.532218591,0.532171069,0.53028755,0.536782247,0.53583332,0.536453959,0.539014811,0.545326651,0.53567902,0.527698442,0.527720588,0.541918105,0.531910708,0.540400754,0.53737753,0.54023579,0.537725841,0.538914601,0.536628903,0.536247007,0.538214973,0.528191942,0.54014992,0.536460677,0.00463382
DTLZ4,MOPSOCD,0.269920897,0.324171397,0.332046571,0.352120184,0.334798955,0.356589397,0.282503627,0.229948915,0.348171882,0.312848467,0.399817067,0.254918775,0.381876374,0.347965004,0.336477234,0.317332573,0.328458692,0.399584312,0.313261069,0.310473087,0.183531932,0.331964964,0.233986447,0.375330965,0.296490857,0.280623747,0.323966431,0.420008999,0.316729243,0.256715859,0.318421131,0.053480583
,SMPSO,0.260388619,0.399375367,0.328664362,0.238201956,0.324067189,0.337676981,0.190659692,0.090877475,0.382250196,0.137637212,0.331659521,0.242328075,0.331583856,0.090895833,0.419108199,0.322551859,0.291369621,0.090881655,0.163034029,0.160038585,0.342906638,0.434019273,0.341918195,0.33931497,0.340757968,0.457755766,0.341005066,0.338038324,0.382483758,0.350954837,0.293413503,0.104002287
,dMOPSO,0.307750941,0.323695023,0.32374557,0.314649895,0.332602064,0.390384569,0.361118688,0.275317257,0.270830692,0.30018627,0.321176637,0.284369057,0.346223645,0.322815076,0.298095424,0.260185411,0.31187031,0.310297594,0.274622268,0.338095762,0.35073669,0.241614746,0.377821621,0.293866338,0.271937967,0.296455425,0.241988768,0.327895491,0.318164052,0.342220126,0.311024446,0.036481266
