Benchmark,Algorithms,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Mean,Std
DTLZ2,MOPSO-Gbest,0.426354315,0.341928528,0.371795878,0.422325161,0.320082972,0.328119949,0.402771914,0.343097342,0.417342663,0.355951403,0.43740896,0.381567293,0.374951272,0.396038247,0.410605053,0.421987873,0.337534606,0.352191156,0.359231431,0.346997069,0.415625183,0.425817246,0.416611955,0.396344098,0.428911696,0.348033574,0.378289129,0.275145545,0.411325394,0.398559334,0.381431541,0.040095236
DTLZ2,MOPSO-DPRT,0.481114108,0.483318218,0.468783679,0.489458611,0.478591346,0.478841355,0.455534743,0.47555736,0.480371027,0.48323147,0.500032601,0.466263931,0.473000413,0.483526527,0.484405563,0.474781485,0.490127342,0.468340041,0.495539345,0.47753621,0.480510295,0.486558488,0.483467074,0.47438344,0.484952123,0.476457426,0.476866745,0.471252518,0.488564967,0.493913714,0.480176072,0.00932202
DTLZ2,MOPSO-Von-Neumann,0.523149282,0.505682432,0.51565026,0.511484506,0.505514483,0.517128307,0.516848826,0.519108945,0.517778902,0.511647656,0.509240136,0.517357322,0.511095479,0.526195726,0.518823237,0.520600168,0.518560941,0.517340679,0.51853641,0.515306889,0.511115547,0.514235372,0.519530062,0.514542281,0.515176318,0.516608886,0.519566496,0.51088226,0.520500555,0.514007399,0.515773859,0.004719533
DTLZ2,MOPSO-IVT,0.534825731,0.530567229,0.531024025,0.527048684,0.53781832,0.537463185,0.538899394,0.537867311,0.526883541,0.53806054,0.536895012,0.538055594,0.534408019,0.545393549,0.534998845,0.538836733,0.537820344,0.527636515,0.524047944,0.527850791,0.530481841,0.518183181,0.529522903,0.543378608,0.53889607,0.543970504,0.538973767,0.536942207,0.532426265,0.528512498,0.534256305,0.006246106
DTLZ2,RT-MOPSO,0.468494553,0.490662139,0.482875903,0.483388512,0.471341978,0.471085139,0.479456466,0.479264832,0.486672573,0.481126882,0.492649917,0.485296342,0.474248853,0.480823976,0.48354255,0.48713631,0.487950064,0.469239865,0.487498502,0.481030433,0.482938687,0.49449817,0.50251072,0.495435951,0.498497723,0.482314136,0.487439091,0.490801108,0.486230468,0.477530237,0.484066069,0.008347497
DTLZ2,RLT-MOPSO,0.537952401,0.534344767,0.543046016,0.538630073,0.543086105,0.530896297,0.538762316,0.532218591,0.532171069,0.53028755,0.536782247,0.53583332,0.536453959,0.539014811,0.545326651,0.53567902,0.527698442,0.527720588,0.541918105,0.531910708,0.540400754,0.53737753,0.54023579,0.537725841,0.538914601,0.536628903,0.536247007,0.538214973,0.528191942,0.54014992,0.536460677,0.00463382
DTLZ4,MOPSO-Gbest,0,0.017266264,0.028055003,0.066348274,0.03639228,0.049779649,0.100371018,0.038272392,0.043468308,0.065386242,0.002076451,0.061103055,0,0.010137532,0,1.52E-05,0.074915607,0.027512023,0.014429614,0,0.00102759,0.004347253,0.066146106,0.11122152,0.0132962,0,0.058352751,0.011269018,0.049363283,0.016158139,0.032223692,0.031857962
DTLZ4,MOPSO-DPRT,0.36919119,0.362759409,0.280132322,0.362184335,0.273701505,0.391940838,0.332153185,0.260158376,0.392802835,0.052732476,0.192591695,0.374535562,0.277067992,0.251548381,0.417477971,0.338586317,0.216976037,0.237865782,0.379372458,0.270532694,0.272063573,0.382102029,0.401905383,0.259566629,0.268405491,0.376210489,0.350576668,0.394464686,0.421362859,0.087782631,0.308291727,0.091579228
DTLZ4,MOPSO-Von-Neumann,0.498238917,0.494881083,0.458334559,0.501910328,0.354616909,0.491267487,0.492168421,0.458201977,0.426590553,0.499460057,0.467636881,0.434949927,0.437312207,0.49393578,0.451411497,0.465818615,0.481028415,0.404700298,0.483999854,0.473222813,0.486464291,0.47357838,0.469551479,0.492325829,0.472753466,0.438943903,0.4749516,0.46092431,0.489413993,0.488313591,0.467230247,0.032106248
DTLZ4,MOPSO-IVT,0.09789138,0.138690798,0.176765216,0.099907712,0.110228513,0.175951401,0.279501581,0.143282427,0.161880499,0.355523049,0.137240197,0.146705782,0.261428787,0.298909102,0.174112728,0.186263179,0.254638725,0.165064054,0.131525376,0.289224332,0.296399847,0.19637763,0.317267862,0.111230772,0.225317483,0.33329717,0.212480226,0.283232628,0.069206521,0.133428091,0.198765769,0.079769479
DTLZ4,RT-MOPSO,0.339875858,0.326009277,0.372258939,0.429734228,0.442492458,0.349912094,0.40484874,0.39331223,0.374590778,0.400400922,0.387477899,0.349758925,0.342222825,0.439753777,0.375410435,0.369023637,0.401494404,0.383289338,0.449359984,0.428024821,0.389794247,0.396621855,0.382468529,0.286881701,0.248558722,0.407551738,0.43743686,0.274681146,0.403853366,0.367686645,0.378492879,0.048756066
DTLZ4,RLT-MOPSO,0.44603173,0.504637855,0.474832676,0.482838182,0.506041619,0.466329557,0.472143144,0.485338689,0.479811917,0.452467348,0.472774606,0.471971057,0.446806681,0.380609234,0.466551484,0.434886647,0.514402746,0.484710155,0.501715924,0.487103345,0.437027515,0.470589668,0.485190108,0.488654297,0.480519882,0.439225686,0.469390169,0.452632858,0.483634179,0.457482778,0.469878391,0.026625122
DTLZ5,MOPSO-Gbest,0.125140424,0.142337351,0.157800842,0.128403109,0.115994375,0.110267022,0.154512363,0.113719207,0.08883469,0.150188979,0.108999903,0.101802267,0.117533491,0.121439612,0.144715232,0.052492386,0.113386429,0.133507915,0.112698426,0.091594622,0.112083056,0.135939787,0.173469899,0.07976195,0.090944806,0.119192468,0.130922957,0.123902456,0.122259735,0.125168153,0.11996713,0.024753794
DTLZ5,MOPSO-DPRT,0.170405311,0.167996455,0.178954782,0.168983963,0.180042228,0.181743967,0.17785854,0.173365026,0.171644087,0.177927323,0.181243416,0.170339894,0.164349941,0.172135708,0.174724487,0.176774397,0.176328083,0.178161053,0.176049522,0.173050435,0.176139995,0.178516826,0.165094284,0.177095253,0.177031917,0.166865692,0.169262203,0.165810019,0.169292526,0.1699279,0.173570508,0.005005634
DTLZ5,MOPSO-Von-Neumann,0.179628878,0.186873339,0.179511677,0.183444709,0.188266559,0.179355534,0.179506317,0.165496437,0.177273069,0.174385669,0.178502513,0.183447796,0.173912299,0.188040167,0.187227144,0.18685425,0.183568001,0.172785559,0.174155093,0.176026139,0.180044938,0.172072162,0.176282789,0.167724313,0.17374913,0.183029609,0.171696462,0.178096247,0.171822118,0.184037943,0.178560562,0.00609347
DTLZ5,MOPSO-IVT,0.176362126,0.178150332,0.175931991,0.162898279,0.159581473,0.182484237,0.179719621,0.178503978,0.173643805,0.18111095,0.18344427,0.179682375,0.172045627,0.176841078,0.184756458,0.180545663,0.173632931,0.17835804,0.172280949,0.178462535,0.166302494,0.180057955,0.180346642,0.173833706,0.177972635,0.170193542,0.179336278,0.181337131,0.180837535,0.176290022,0.176498155,0.005815804
DTLZ5,RT-MOPSO,0.148356037,0.158252319,0.138065704,0.141690037,0.126925621,0.112085878,0.15045872,0.138735998,0.153547108,0.156494351,0.127211092,0.15370686,0.136875035,0.123453331,0.14744984,0.15120118,0.146442155,0.130767441,0.142609059,0.153999518,0.141787453,0.15296484,0.140904936,0.127037051,0.149372945,0.130150293,0.151152543,0.16411229,0.125304577,0.116872397,0.14126622,0.013137602
