Benchmark,Algorithms,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Mean,Std
DTLZ2,MOPSOCD,0.092790205,0.106674788,0.100103859,0.097244324,0.1006819,0.110136265,0.098185282,0.117059798,0.088960697,0.084796976,0.103671825,0.118804429,0.09896794,0.08787253,0.093265784,0.1121048,0.096110814,0.08923208,0.114104153,0.108785556,0.104625553,0.087871022,0.10330098,0.090106116,0.091918804,0.097764871,0.099959697,0.107025054,0.09617777,0.112952455,0.100375211,0.009366241
,SMPSO,0.082264266,0.098037041,0.111297706,0.090223753,0.083617958,0.114330378,0.100401188,0.089490604,0.110042945,0.081425948,0.088021404,0.079291034,0.083700169,0.104155979,0.088199046,0.094514247,0.083799792,0.111634954,0.083445482,0.090743922,0.090025251,0.095226117,0.105495159,0.10529535,0.096669851,0.089190829,0.087725321,0.094107492,0.101361865,0.097758642,0.094383123,0.010014239
,dMOPSO,0.126060706,0.154862213,0.146577588,0.145002907,0.154000181,0.146216164,0.127331169,0.143551309,0.152404296,0.141135075,0.165802555,0.139499582,0.148053863,0.136233143,0.151621586,0.12028266,0.139761083,0.132076602,0.150139698,0.149113992,0.144521417,0.142154289,0.119745896,0.145071052,0.161453372,0.156106971,0.139639632,0.148960756,0.134313715,0.123973705,0.142855573,0.011551539
,MOEADD,0.055141584,0.055278857,0.055173037,0.056624888,0.055066982,0.055226929,0.05550757,0.055060413,0.056788251,0.055682667,0.055695754,0.054785301,0.055008998,0.055957289,0.054727689,0.055000364,0.054927113,0.055671431,0.055088316,0.055075438,0.055064512,0.054849781,0.055419182,0.055109535,0.055281966,0.055381879,0.054907669,0.05522203,0.05648732,0.055959847,0.05537242,0.000532065
,RVEA,0.055230541,0.056889077,0.055581724,0.056115714,0.055244555,0.056485685,0.055999468,0.054976293,0.055834944,0.056442907,0.054877731,0.056175318,0.056954646,0.05584125,0.05538448,0.055259661,0.05551222,0.056354931,0.054971663,0.055353653,0.055082777,0.055309434,0.055792921,0.05487714,0.055273042,0.054945138,0.056903641,0.056166221,0.055999877,0.055351302,0.055706265,0.000631949
,PESAII,0.069532659,0.069463655,0.06519141,0.085878697,0.069318179,0.074479467,0.066967189,0.076012344,0.074362124,0.066339954,0.06873088,0.069335831,0.075883862,0.066649035,0.070677261,0.067188721,0.094941096,0.066668138,0.06709612,0.078494411,0.071885725,0.065218494,0.076075294,0.067742308,0.071293953,0.066409164,0.068751892,0.069230646,0.07869153,0.071414274,0.071664144,0.006495826
,RLT-MOPSO,0.054670606,0.056602563,0.051214446,0.053749108,0.050949144,0.058389884,0.055278815,0.056168317,0.05760283,0.056597162,0.053158713,0.05406377,0.053632938,0.055124935,0.050640381,0.054985396,0.059729355,0.057540297,0.051696366,0.059303244,0.052746154,0.053334719,0.052732901,0.053599309,0.052682627,0.053595122,0.057405651,0.053631684,0.057296869,0.054681472,0.054760159,0.002451319
DTLZ4,MOPSOCD,0.344412216,0.271410266,0.282408599,0.24619233,0.267049646,0.256612453,0.333563285,0.371520113,0.268673234,0.323288811,0.259241984,0.328451597,0.242891468,0.274152682,0.271566575,0.304198155,0.249611613,0.225664496,0.285680601,0.27338346,0.394224367,0.295652522,0.363697231,0.264991118,0.339143084,0.291051769,0.276173524,0.194037024,0.357239481,0.305951144,0.292071162,0.046217843
,SMPSO,0.478266388,0.240110682,0.400893319,0.57089951,0.434765616,0.542596403,0.429569433,0.580272364,0.240766725,0.472879429,0.401667184,0.373588872,0.431966331,0.945931825,0.275454667,0.427390941,0.563885254,0.945939203,0.679723555,0.616352384,0.390075376,0.274263759,0.541703525,0.542228876,0.542013518,0.164205459,0.541958827,0.36812848,0.322204129,0.335051632,0.469158456,0.17930922
,dMOPSO,0.309473661,0.293902053,0.3061169,0.310797057,0.306402456,0.283804947,0.271574565,0.334600751,0.330184503,0.329042486,0.3202887,0.312293001,0.293398989,0.299126685,0.308810379,0.347665351,0.321188056,0.344429592,0.314758093,0.318967242,0.256246849,0.349170963,0.2409207,0.315662468,0.348255135,0.309728825,0.329333297,0.31607302,0.320458587,0.308335788,0.31170037,0.025114929
