Benchmark,Algorithms,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Mean,Std
DTLZ2,MOPSO-Gbest,0.12131204,0.170841665,0.159457003,0.11626052,0.193359786,0.191103466,0.136420523,0.18221952,0.121151903,0.163054965,0.117928231,0.147072162,0.155873819,0.1386747,0.125136095,0.121059644,0.174753158,0.187241101,0.164997695,0.16758348,0.131717454,0.123636504,0.121218699,0.138765826,0.12610216,0.171421789,0.14736689,0.22077901,0.131213545,0.130558186,0.149942718,0.027687023
,MOPSO-DPRT,0.086823705,0.086878336,0.088580911,0.08090546,0.088644057,0.08819644,0.095176512,0.083891038,0.081103058,0.082916244,0.07755133,0.091943296,0.092607075,0.082055676,0.08274482,0.088356967,0.092325694,0.091464298,0.078304958,0.082808169,0.090442745,0.084037338,0.085297542,0.087525266,0.085665842,0.088284685,0.08584138,0.089487292,0.082403126,0.077450318,0.085990453,0.004621262
,MOPSO-Von-Neumann,0.059585055,0.070282502,0.068015056,0.068026291,0.071465368,0.063934154,0.064676806,0.062241548,0.064223642,0.068471139,0.069989988,0.065584068,0.067512431,0.062238456,0.063458891,0.063426371,0.065565519,0.064194168,0.062951499,0.067281372,0.067922202,0.064033039,0.064015237,0.065164376,0.0660946,0.064014391,0.064609449,0.066963499,0.064050835,0.066541755,0.065551124,0.002652214
,MOPSO-IVT,0.05594992,0.056105944,0.056378678,0.058423947,0.054139342,0.05372343,0.05436553,0.056750504,0.059136203,0.05315053,0.054365168,0.053376465,0.055900845,0.050690016,0.055363177,0.053586983,0.055047731,0.058751471,0.060110934,0.058832183,0.056198689,0.062716884,0.059279164,0.05105917,0.052291288,0.051984653,0.054490187,0.052112883,0.057001229,0.058685548,0.055665623,0.002910761
,RT-MOPSO,0.090431879,0.078958153,0.087069692,0.08424571,0.089294441,0.093178951,0.087244455,0.088388391,0.087233451,0.084161625,0.080853761,0.081804081,0.087163862,0.085089354,0.085185895,0.080994526,0.083661755,0.0900971,0.083795491,0.085194607,0.084022225,0.079733052,0.073831273,0.078848028,0.0769467,0.085136099,0.084688285,0.081436754,0.086085305,0.087338734,0.084403788,0.004237674
,RL-MOPSO,0.054670606,0.056602563,0.051214446,0.053749108,0.050949144,0.058389884,0.055278815,0.056168317,0.05760283,0.056597162,0.053158713,0.05406377,0.053632938,0.055124935,0.050640381,0.054985396,0.059729355,0.057540297,0.051696366,0.059303244,0.052746154,0.053334719,0.052732901,0.053599309,0.052682627,0.053595122,0.057405651,0.053631684,0.057296869,0.054681472,0.054760159,0.002451319
DTLZ4,MOPSO-Gbest,0.895399485,0.715437087,0.542162376,0.672674634,0.591626016,0.693578876,0.4411995,0.495762809,0.471572428,0.472731617,0.618345772,0.577791264,0.807480614,0.589574668,0.9481042,0.489938432,0.632077238,0.53727119,0.800055012,1.01248772,0.755887398,0.585809991,0.962368999,0.515593409,0.554004965,0.58886766,0.877937341,0.993120073,0.772416843,0.757680407,0.678965268,0.170568869
,MOPSO-DPRT,0.271206223,0.283938594,0.553814865,0.276429781,0.554955302,0.167842872,0.289422716,0.562902143,0.265852146,0.81895452,0.590631357,0.163312863,0.555164316,0.56432129,0.259292243,0.306000161,0.580177775,0.385842066,0.271815948,0.254364483,0.556173464,0.269266181,0.146845269,0.343384315,0.556415065,0.274547632,0.278537705,0.167051623,0.122649304,0.461519243,0.371754382,0.175806125
,MOPSO-Von-Neumann,0.050974919,0.054103428,0.153969216,0.050698201,0.339520787,0.089251863,0.060810741,0.117491422,0.15355348,0.060913138,0.093807293,0.182518175,0.121909777,0.093468927,0.108610025,0.10934669,0.097626517,0.225403405,0.076839661,0.073066827,0.065302903,0.064944711,0.096524862,0.053764694,0.094173285,0.158239667,0.10606397,0.101623103,0.064477515,0.05868188,0.105922703,0.061044416
,MOPSO-IVT,0.430375836,0.393832993,0.38010222,0.463589032,0.45928571,0.371915569,0.366523856,0.410559175,0.378296077,0.281104517,0.398881174,0.395868554,0.318882587,0.304365625,0.346550405,0.357659853,0.304219088,0.314967439,0.396486316,0.309076427,0.320550054,0.360856285,0.301787406,0.444309725,0.346942604,0.292032142,0.34197011,0.315511977,0.514232271,0.432646063,0.368446036,0.058515401
,RT-MOPSO,0.203970442,0.209469176,0.189370844,0.128181595,0.122136114,0.201902357,0.152240813,0.212112131,0.174805815,0.146319236,0.168619112,0.197791083,0.22348831,0.1162162,0.204178575,0.188157486,0.169876116,0.171260856,0.114503386,0.13939909,0.177199461,0.151085877,0.184043951,0.232345006,0.30325831,0.135144537,0.129121076,0.245495745,0.173570893,0.275282447,0.181351535,0.045836833
,RL-MOPSO,0.108038994,0.074178969,0.089523133,0.098032905,0.071291788,0.095040491,0.090192308,0.086333776,0.089738743,0.145805213,0.097881509,0.091472307,0.107213768,0.144464729,0.096116773,0.113082595,0.068881015,0.079669733,0.109031075,0.08131182,0.111611926,0.092963773,0.086071126,0.08194457,0.086871659,0.107662385,0.089639307,0.10093083,0.084946768,0.098337326,0.095942711,0.017679497
DTLZ5,MOPSO-Gbest,0.065498871,0.053299798,0.036310702,0.062040912,0.073327632,0.081365849,0.050154462,0.083531842,0.101553826,0.047203777,0.079828037,0.088658582,0.075994719,0.070979632,0.055124873,0.158734735,0.080774804,0.059941628,0.076695285,0.106530964,0.079068606,0.060678314,0.026420006,0.108946019,0.103974594,0.084441556,0.063706793,0.068268605,0.066459022,0.073373519,0.074762932,0.025077317
,MOPSO-DPRT,0.042873568,0.04025856,0.038796536,0.04067932,0.036890798,0.036620562,0.038596499,0.049821896,0.032460375,0.03375938,0.031039936,0.038796869,0.061049819,0.040351189,0.049714418,0.034854849,0.032870441,0.036510361,0.038402876,0.040389918,0.041976031,0.034939345,0.04650563,0.040083472,0.041010869,0.044913017,0.042076461,0.046126918,0.050573023,0.051943182,0.04116287,0.006668946
,MOPSO-Von-Neumann,0.024179777,0.018824777,0.023764888,0.020000187,0.016118796,0.023326172,0.026643816,0.040754204,0.024745457,0.028335684,0.026484626,0.019516182,0.0341616,0.016020206,0.017175256,0.016781127,0.023604047,0.030002251,0.033068616,0.02664132,0.023580272,0.029818121,0.027330944,0.035624067,0.035929952,0.023180627,0.029948305,0.026504058,0.030089559,0.021663846,0.025793958,0.006271629
,MOPSO-IVT,0.02580775,0.022488518,0.025311008,0.037468992,0.036446781,0.0177834,0.022421279,0.021459417,0.027439071,0.022186596,0.017596571,0.021302855,0.029861633,0.025449161,0.014877411,0.022611614,0.024554724,0.022403622,0.029714327,0.021481445,0.035327795,0.02157918,0.020989743,0.025860817,0.021492225,0.028666638,0.021170005,0.018658622,0.019449546,0.024502566,0.02421211,0.005410635
,RT-MOPSO,0.062018068,0.048326014,0.071928067,0.056419153,0.074041082,0.080029646,0.049111479,0.068146467,0.0490663,0.054162685,0.06874001,0.0603887,0.063578737,0.073174503,0.059366928,0.054171867,0.058339751,0.06955496,0.064087796,0.046331689,0.062389416,0.049241893,0.059789335,0.068788463,0.055361835,0.074032604,0.047938322,0.034634109,0.073494996,0.081428158,0.061269434,0.011182207
,RL-MOPSO,0.028734309,0.018843441,0.028999584,0.020844876,0.022931613,0.022149984,0.019756081,0.033029542,0.024008585,0.01502054,0.023054876,0.020179199,0.019975409,0.02346912,0.027318789,0.023903504,0.029185078,0.021391019,0.032086125,0.030688734,0.016678521,0.020557206,0.024309457,0.016254916,0.025686058,0.02542857,0.027116614,0.019481968,0.024483741,0.029652655,0.02384067,0.004725124
DTLZ6,MOPSO-Gbest,2.283707339,2.361071928,2.62203795,2.942609651,2.668410115,2.559757658,2.761673392,2.650160964,3.144443461,2.435371939,2.542325568,2.455804165,2.471227779,2.430685801,2.703041887,2.953434125,2.790065309,2.269311557,2.864611839,2.317084034,2.783938,2.717574869,2.906745527,3.136061676,2.211933187,2.684177561,2.943046375,2.130604727,2.473367401,2.883812114,2.636603263,0.270064449
