Benchmark_Instance,Omega,C1,C2,EPnum,MPnum,Norm_Neg_HV
WFG1,0.760231124,1.076784991,0.553685898,3,2,-0.543880072
Viennet3,0.760231124,1.076784991,0.553685898,3,2,-1.003055649
WFG1,0.310556205,1.89203533,2.22719348,3,3,-0.538884741
DTLZ7,0.437450664,0.508884223,1.268788852,4,3,-0.950701944
WFG1,0.437450664,0.508884223,1.268788852,4,3,-0.603809183
Viennet3,0.437450664,0.508884223,1.268788852,4,3,-1.001317797
Viennet3,0.5,1.5,1.5,2,2,-1.003860823
DTLZ7,0.5,1.5,1.5,2,2,-0.632693791
DTLZ2,0.437450664,0.508884223,1.268788852,4,3,-0.967098724
Viennet3,0.687681785,2.459754914,1.950566847,2,4,-1.005197374
DTLZ2,0.687681785,2.459754914,1.950566847,2,4,-0.932602046
WFG4,0.437450664,0.508884223,1.268788852,4,3,-0.939554765
DTLZ7,0.625700032,1.728164261,1.502493793,2,2,-0.775366868
DTLZ4,0.437450664,0.508884223,1.268788852,4,3,-0.912611134
WFG1,0.547646428,1.303172711,1.215643829,4,4,-0.520451559
WFG8,0.437450664,0.508884223,1.268788852,4,3,-0.880824852
WFG4,0.204400629,2.170027491,2.28836713,3,2,-0.906604764
DTLZ4,0.437450664,0.508884223,1.268788852,4,3,-0.936968453
WFG8,0.826418622,0.861124573,0.993246812,3,3,-0.826480529
Viennet3,0.437450664,0.508884223,1.268788852,4,3,-0.997158936
WFG8,0.343173246,2.051304525,1.037861062,3,3,-0.863729226
WFG8,0.437450664,0.508884223,1.268788852,4,3,-0.876695956
WFG1,0.770979019,0.979828361,1.742771314,3,4,-0.489658501
WFG4,0.437450664,0.508884223,1.268788852,4,3,-0.93238778
WFG4,0.676902388,1.612493154,0.752933528,4,2,-0.921501874
WFG1,0.437450664,0.508884223,1.268788852,4,3,-0.598457203
Viennet3,0.404779759,1.41882485,2.466175169,2,3,-1.004959254
WFG8,0.404779759,1.41882485,2.466175169,2,3,-0.840448447
DTLZ4,0.404779759,1.41882485,2.466175169,2,3,-0.973959682
DTLZ4,0.404779759,1.41882485,2.466175169,2,3,-0.964192467
WFG1,0.404779759,1.41882485,2.466175169,2,3,-0.535417209
WFG4,0.404779759,1.41882485,2.466175169,2,3,-0.90721565
Viennet3,0.404779759,1.41882485,2.466175169,2,3,-1.004776309
DTLZ2,0.437450664,0.508884223,1.268788852,4,3,-0.978694131
DTLZ4,0.470889765,0.644082807,2.018256558,2,2,-0.547866532
DTLZ7,0.437450664,0.508884223,1.268788852,4,3,-0.540243552
DTLZ2,0.570824218,2.324567759,0.700126158,4,4,-0.979017119
WFG1,0.570824218,2.324567759,0.700126158,4,4,-0.575000561
WFG8,0.570824218,2.324567759,0.700126158,4,4,-0.856102256
WFG4,0.437450664,0.508884223,1.268788852,4,3,-0.932726685
WFG1,0.881262851,1.207222851,1.804160442,4,2,-0.54098909
Viennet3,0.437450664,0.508884223,1.268788852,4,3,-0.997064407
DTLZ4,0.281103344,1.761608928,1.477698594,2,4,-0.974053342
WFG4,0.281103344,1.761608928,1.477698594,2,4,-0.923434597
WFG8,0.281103344,1.761608928,1.477698594,2,4,-0.867845157
