Benchmark_Instance,Omega,C1,C2,Norm_Neg_HV
WFG8,0.71,0.83,1.78,-0.833903121
WFG1,0.71,0.83,1.78,-0.791520493
WFG8,0.37,2.42,0.9,-1.022132938
WFG1,0.37,2.42,0.9,-0.63828895
WFG1,0.5,1.5,1.5,-0.854178079
WFG8,0.5,1.5,1.5,-0.96752895
WFG4,0.5,1.5,1.5,-1.000246503
WFG4,0.87,1.51,2.16,-0.789316441
DTLZ4,0.5,1.5,1.5,-0.967055009
WFG4,0.51,1.24,1.03,-1.065055362
WFG8,0.51,1.24,1.03,-1.075420704
DTLZ4,0.51,1.24,1.03,-0.965409537
WFG1,0.51,1.24,1.03,-0.619093109
DTLZ2,0.5,1.5,1.5,-0.96671889
DTLZ4,0.25,1.3,2.42,-0.561811987
DTLZ7,0.5,1.5,1.5,-0.964208366
WFG4,0.61,1.95,1.26,-1.008575404
WFG1,0.61,1.95,1.26,-0.259875316
DTLZ2,0.61,1.95,1.26,-0.970412836
Viennet3,0.5,1.5,1.5,-1.037962596
WFG1,0.46,2.1,1.55,-0.265122634
WFG1,0.5,1.5,1.5,-0.791709524
DTLZ4,0.79,0.65,0.64,-1.048576889
WFG1,0.79,0.65,0.64,-0.138634846
WFG1,0.79,0.65,0.64,-0.248654005
DTLZ4,0.5,1.5,1.5,-0.921702086
WFG1,0.38,0.61,2.1,-0.772032901
WFG8,0.5,1.5,1.5,-0.957581011
Viennet3,0.74,2.14,1.21,-1.035414655
WFG4,0.5,1.5,1.5,-0.989774183
DTLZ4,0.24,1.79,1.98,-0.926039451
WFG4,0.24,1.79,1.98,-0.962921457
WFG1,0.24,1.79,1.98,-0.542010906
Viennet3,0.5,1.5,1.5,-1.037951034
DTLZ4,0.58,1.46,0.83,-0.770890997
DTLZ7,0.5,1.5,1.5,-0.546844127
WFG4,0.84,1.02,1.74,-0.854230336
DTLZ2,0.5,1.5,1.5,-0.973181692
DTLZ2,0.5,1.73,0.56,-0.980057443
DTLZ4,0.5,1.73,0.56,-0.434293583
WFG8,0.5,1.73,0.56,-0.959144112
WFG8,0.5,1.5,1.5,-0.961228664
DTLZ7,0.66,2.32,2.37,-1.02008509
DTLZ2,0.66,2.32,2.37,-0.419866622
WFG1,0.66,2.32,2.37,-0.675214095
WFG4,0.5,1.5,1.5,-0.995612362
Viennet3,0.29,0.93,1.44,-1.039309774
WFG4,0.29,0.93,1.44,-1.065987345
DTLZ4,0.29,0.93,1.44,-0.952705506
DTLZ4,0.29,0.93,1.44,-1.05470666
WFG4,0.29,0.93,1.44,-1.050393067
Viennet3,0.29,0.93,1.44,-1.037618648
WFG8,0.29,0.93,1.44,-1.066603247
WFG1,0.29,0.93,1.44,-1.550417644
DTLZ2,0.29,0.93,1.44,-1.013451536
WFG8,0.29,0.93,1.44,-1.041023583
WFG4,0.29,0.93,1.44,-1.056306434
DTLZ2,0.29,0.93,1.44,-1.010994753
WFG8,0.29,0.93,1.44,-1.039587557
WFG1,0.29,0.93,1.44,-1.114986336
DTLZ7,0.29,0.93,1.44,-0.201441826
DTLZ7,0.29,0.93,1.44,-0.172331921
WFG1,0.29,0.93,1.44,-0.821123477
Viennet3,0.76,0.95,2.25,-1.030404909
Viennet3,0.29,0.93,1.44,-1.039406248
Viennet3,0.4,2.3,1.43,-1.03693213
DTLZ4,0.29,0.93,1.44,-1.00879929
Viennet3,0.55,1.63,1.63,-1.033923958
DTLZ2,0.29,0.93,1.44,-1.012398979
WFG1,0.22,1.12,0.56,-0.19335535
DTLZ7,0.29,0.93,1.44,-0.519974744
WFG4,0.48,1.43,1.89,-0.938208777
DTLZ2,0.29,0.93,1.44,-1.013135905
Viennet3,0.82,1.83,0.79,-1.035513083
WFG4,0.29,0.93,1.44,-1.046593139
DTLZ7,0.31,2.22,2.02,-0.940638427
DTLZ2,0.31,2.22,2.02,-0.840557094
WFG8,0.31,2.22,2.02,-0.838365279
WFG1,0.31,2.22,2.02,-0.075688638
WFG4,0.31,2.22,2.02,-0.91625252
WFG1,0.31,2.22,2.02,-0.723191842
DTLZ4,0.31,2.22,2.02,-0.703652212
DTLZ7,0.29,0.93,1.44,-0.325410419
DTLZ2,0.68,0.53,1.17,-0.981786466
WFG1,0.29,0.93,1.44,-0.69749759
WFG1,0.35,0.74,1.57,-1.155252594
Viennet3,0.35,0.74,1.57,-1.038371427
WFG1,0.35,0.74,1.57,-0.717647012
WFG4,0.35,0.74,1.57,-1.036132881
DTLZ7,0.35,0.74,1.57,-0.777410946
