Benchmark_Instance,Omega,C1,C2,Rows,Cols,Norm_Neg_HV
Viennet3,0.32 ,1.23 ,2.04 ,10,20,-1.005078687
WFG1,0.32 ,1.23 ,2.04 ,10,20,-0.518035858
WFG1,0.64 ,2.46 ,0.51 ,25,8,-0.518162303
Viennet3,0.64 ,2.46 ,0.51 ,25,8,-1.005149823
WFG1,0.50 ,1.50 ,1.50 ,20,10,-0.514265356
Viennet3,0.50 ,1.50 ,1.50 ,20,10,-1.004822443
DTLZ7,0.64 ,2.46 ,0.51 ,25,8,-0.670275843
WFG1,0.39 ,1.64 ,1.62 ,20,10,-0.522142852
Viennet3,0.39 ,1.64 ,1.62 ,20,10,-1.005171321
WFG8,0.64 ,2.46 ,0.51 ,25,8,-0.866997217
WFG1,0.75 ,0.93 ,1.09 ,8,25,-0.510586012
WFG4,0.64 ,2.46 ,0.51 ,25,8,-0.938312056
WFG1,0.89 ,0.65 ,1.93 ,25,8,-0.495866589
DTLZ2,0.64 ,2.46 ,0.51 ,25,8,-0.993333579
WFG8,0.51 ,1.91 ,1.40 ,10,20,-0.85199578
DTLZ4,0.64 ,2.46 ,0.51 ,25,8,-0.990585576
Viennet3,0.61 ,2.24 ,2.48 ,8,25,-1.00515432
WFG1,0.61 ,2.24 ,2.48 ,8,25,-0.503705539
DTLZ4,0.61 ,2.24 ,2.48 ,8,25,-0.923975612
DTLZ7,0.64 ,2.46 ,0.51 ,25,8,-0.720730664
DTLZ2,0.28 ,1.44 ,0.95 ,20,10,-0.994702553
DTLZ7,0.28 ,1.44 ,0.95 ,20,10,-0.365747609
WFG4,0.28 ,1.44 ,0.95 ,20,10,-0.936776032
DTLZ2,0.64 ,2.46 ,0.51 ,25,8,-0.990840817
DTLZ2,0.50 ,1.26 ,1.67 ,8,25,-0.980737811
WFG8,0.64 ,2.46 ,0.51 ,25,8,-0.875678658
Viennet3,0.82 ,2.05 ,1.15 ,20,10,-1.005239216
DTLZ2,0.82 ,2.05 ,1.15 ,20,10,-0.976552857
DTLZ2,0.82 ,2.05 ,1.15 ,20,10,-0.974438261
WFG1,0.64 ,2.46 ,0.51 ,25,8,-0.498073132
DTLZ2,0.22 ,1.85 ,2.22 ,25,8,-0.973052838
WFG4,0.64 ,2.46 ,0.51 ,25,8,-0.944478339
WFG4,0.58 ,0.58 ,0.69 ,10,20,-0.919877773
Viennet3,0.64 ,2.46 ,0.51 ,25,8,-1.005154727
DTLZ7,0.72 ,0.87 ,2.28 ,20,10,-0.775545248
WFG4,0.72 ,0.87 ,2.28 ,20,10,-0.869037174
