Benchmark,Omega,C1,C2,PM_Prob,Eta_m,Norm_Neg_HV
DTLZ4,0.22 ,1.03 ,1.20 ,0.85 ,10,-0.98716699
DTLZ2,0.22 ,1.03 ,1.20 ,0.85 ,10,-0.978019899
DTLZ2,0.55 ,1.79 ,1.66 ,0.32 ,20,-0.966232987
WFG1,0.22 ,1.03 ,1.20 ,0.85 ,10,-0.516801681
DTLZ2,0.50 ,2.42 ,0.87 ,0.52 ,20,-0.977833683
DTLZ7,0.22 ,1.03 ,1.20 ,0.85 ,10,-0.84302109
DTLZ7,0.83 ,0.65 ,2.30 ,0.65 ,50,-4.616660866
DTLZ2,0.83 ,0.65 ,2.30 ,0.65 ,50,-1.693837753
WFG1,0.83 ,0.65 ,2.30 ,0.65 ,50,-2.372688939
DTLZ4,0.83 ,0.65 ,2.30 ,0.65 ,50,-1.099444923
DTLZ7,0.50 ,1.50 ,1.50 ,1.00 ,20,-0.966017993
WFG1,0.50 ,1.50 ,1.50 ,1.00 ,20,-0.508856005
DTLZ4,0.50 ,1.50 ,1.50 ,1.00 ,20,-2.478139805
DTLZ2,0.50 ,1.50 ,1.50 ,1.00 ,20,-0.970108222
WFG8,0.83 ,0.65 ,2.30 ,0.65 ,50,-1.04665086
DTLZ4,0.79 ,0.80 ,0.56 ,0.79 ,20,-0.967292099
Viennet3,0.83 ,0.65 ,2.30 ,0.65 ,50,-1.004771313
WFG1,0.46 ,2.01 ,2.10 ,0.45 ,10,-9.522568901
DTLZ2,0.46 ,2.01 ,2.10 ,0.45 ,10,-4.229258663
WFG8,0.69 ,1.63 ,1.38 ,0.25 ,50,-0.830574422
DTLZ4,0.83 ,0.65 ,2.30 ,0.65 ,50,-6.098205533
DTLZ2,0.36 ,1.43 ,1.96 ,0.99 ,10,-0.964961534
Viennet3,0.83 ,0.65 ,2.30 ,0.65 ,50,-1.004828931
Viennet3,0.40 ,1.32 ,0.90 ,0.36 ,50,-1.005738879
