Benchmark,Div_Size,Norm_Neg_HV
Viennet3,16,-1.005229751
DTLZ4,16,-0.985176556
DTLZ4,32,-0.983332916
DTLZ2,16,-0.96731751
DTLZ4,64,-0.977234715
WFG4,16,-0.920666262
DTLZ2,10,-0.979575862
DTLZ4,10,-0.987490489
Viennet3,10,-1.004984148
WFG4,10,-0.957144206
WFG8,10,-0.876778703
DTLZ2,32,-0.966182075
WFG1,10,-0.802369575
WFG1,32,-0.780694443
DTLZ7,10,-0.773261404
DTLZ7,64,-0.878453587
WFG4,64,-0.888026866
WFG1,64,-0.73987643
Viennet3,10,-1.005119544
WFG8,16,-0.860592189
DTLZ7,10,-0.842401561
DTLZ7,16,-0.826997464
DTLZ2,10,-0.977242144
WFG1,16,-0.742285877
DTLZ4,10,-0.986953797
DTLZ7,32,-0.835654306
WFG4,10,-0.944790478
DTLZ7,16,-0.794961451
WFG1,10,-0.7206151
DTLZ4,32,-0.980627897
WFG8,10,-0.876973572
DTLZ2,32,-0.936774275
DTLZ4,10,-0.984461779
Viennet3,32,-1.005410693
Viennet3,10,-1.005036908
Viennet3,32,-1.005429946
WFG4,10,-0.944822309
DTLZ7,32,-0.87281227
WFG8,32,-0.830084142
WFG4,32,-0.912106181
WFG8,10,-0.880743861
WFG4,16,-0.930594655
DTLZ7,10,-0.818954599
WFG4,32,-0.897913036
WFG1,10,-0.765650963
WFG1,32,-0.734181013
DTLZ2,10,-0.966059362
WFG8,16,-0.851728672
Viennet3,10,-1.005168661
Viennet3,64,-1.005463641
WFG8,10,-0.877182441
DTLZ7,16,-0.828258947
DTLZ2,10,-0.968815078
DTLZ2,64,-0.950261731
DTLZ4,10,-0.984639314
DTLZ2,32,-0.932583921
WFG1,10,-0.745444266
Viennet3,32,-1.005500036
DTLZ7,10,-0.838587398
WFG1,32,-0.798198767
WFG4,10,-0.953633511
WFG1,64,-0.798834245
DTLZ7,10,-0.824095563
DTLZ4,32,-0.978205068
WFG8,10,-0.90691712
WFG8,32,-0.821811034
Viennet3,10,-1.005145651
WFG4,64,-0.911918675
DTLZ4,10,-0.987874208
WFG8,32,-0.810305939
DTLZ2,10,-0.979194752
Viennet3,32,-1.005540192
WFG4,10,-0.95445383
DTLZ7,32,-0.845799541
WFG1,10,-0.796961577
DTLZ2,32,-0.945935477
DTLZ7,10,-0.893528139
WFG4,32,-0.903085822
Viennet3,10,-1.005068954
WFG1,32,-0.772368806
WFG4,10,-0.93683927
WFG8,16,-0.866583987
DTLZ4,10,-0.986486083
WFG4,16,-0.929561293
WFG1,10,-0.69845911
DTLZ4,64,-0.975103373
DTLZ2,10,-0.974871895
DTLZ2,32,-0.943560325
WFG8,10,-0.875237454
Viennet3,64,-1.005433274
DTLZ2,10,-0.982051708
DTLZ7,64,-0.861606191
DTLZ7,10,-0.833513854
WFG1,64,-0.686480821
Viennet3,10,-1.004840374
Viennet3,64,-1.005410967
DTLZ4,10,-0.987680997
WFG1,16,-0.709143788
WFG8,10,-0.896947126
WFG4,16,-0.922596859
WFG1,10,-0.780556826
Viennet3,16,-1.005327307
WFG4,10,-0.94259368
WFG4,16,-0.926862862
DTLZ7,10,-0.824811708
DTLZ7,32,-0.838600423
Viennet3,10,-1.005320551
WFG1,32,-0.710360908
WFG1,10,-0.741382935
WFG4,64,-0.888780656
WFG8,10,-0.887612083
DTLZ4,16,-0.978679593
DTLZ2,10,-0.977323307
DTLZ2,64,-0.906712695
DTLZ4,10,-0.986041081
Viennet3,64,-1.00559501
WFG4,10,-0.935667234
Viennet3,32,-1.005606407
WFG4,10,-0.944718325
WFG8,64,-0.805686727
WFG8,10,-0.899742223
WFG4,16,-0.917722123
WFG1,10,-0.797986776
WFG8,32,-0.827716766
DTLZ4,10,-0.986276459
DTLZ7,64,-0.824032741
Viennet3,10,-1.0051532
WFG4,64,-0.893790114
DTLZ7,10,-0.822241382
WFG1,16,-0.760341594
DTLZ2,10,-0.984398954
DTLZ7,16,-0.844336048
DTLZ4,10,-0.985379716
DTLZ2,32,-0.92753487
DTLZ7,10,-0.761731091
WFG1,16,-0.765254902
WFG4,10,-0.951477788
Viennet3,32,-1.005508415
Viennet3,10,-1.005245564
DTLZ7,32,-0.824904033
DTLZ2,10,-0.978074131
DTLZ2,32,-0.946078697
WFG1,10,-0.775936678
WFG8,64,-0.758757375
WFG8,10,-0.898554631
Viennet3,16,-1.005301163
DTLZ4,10,-0.985194605
WFG4,32,-0.886346504
DTLZ7,10,-0.827443554
DTLZ7,64,-0.860911779
