Benchmark,Omega,C1,C2,EPnum,MPnum,Rows,Cols,Alpha_RL,Gamma_RL,Epsilon,Norm_Neg_HV
WFG8,0.63,2.28,1.05,3,3,25,8,0.85,0.17,0.33,-0.854924495
WFG4,0.63,2.28,1.05,3,3,25,8,0.85,0.17,0.33,-0.919605391
WFG4,0.31,1.38,1.74,3,4,20,10,0.54,0.79,0.29,-0.917355021
DTLZ2,0.63,2.28,1.05,3,3,25,8,0.85,0.17,0.33,-0.982295355
DTLZ2,0.4,1.56,2.46,2,2,10,20,0.72,0.41,0.17,-0.966818785
WFG1,0.63,2.28,1.05,3,3,25,8,0.85,0.17,0.33,-0.524031769
WFG1,0.86,0.67,0.77,4,3,8,25,0.62,0.64,0.4,-0.527057738
WFG4,0.86,0.67,0.77,4,3,8,25,0.62,0.64,0.4,-0.928996862
DTLZ2,0.86,0.67,0.77,4,3,8,25,0.62,0.64,0.4,-0.981782159
WFG8,0.86,0.67,0.77,4,3,8,25,0.62,0.64,0.4,-0.874138398
DTLZ2,0.5,1.5,1.5,2,2,20,10,0.75,0.2,0.5,-0.980137357
WFG1,0.5,1.5,1.5,2,2,20,10,0.75,0.2,0.5,-0.539897273
WFG8,0.5,1.5,1.5,2,2,20,10,0.75,0.2,0.5,-0.85189736
WFG4,0.5,1.5,1.5,2,2,20,10,0.75,0.2,0.5,-0.915350127
DTLZ7,0.86,0.67,0.77,4,3,8,25,0.62,0.64,0.4,-0.996554919
DTLZ7,0.47,0.83,0.53,4,2,10,20,0.59,0.37,0.39,-0.340865532
DTLZ4,0.86,0.67,0.77,4,3,8,25,0.62,0.64,0.4,-0.985546609
DTLZ7,0.79,1.94,2.23,2,3,8,25,0.89,0.59,0.24,-0.995924232
Viennet3,0.86,0.67,0.77,4,3,8,25,0.62,0.64,0.4,-1.00492326
DTLZ2,0.7,1.11,1.95,3,3,25,8,0.67,0.22,0.11,-0.968015002
WFG8,0.86,0.67,0.77,4,3,8,25,0.62,0.64,0.4,-0.861816265
WFG8,0.24,2.22,1.25,3,4,20,10,0.76,0.84,0.47,-0.877829972
DTLZ2,0.24,2.22,1.25,3,4,20,10,0.76,0.84,0.47,-0.985704361
Viennet3,0.24,2.22,1.25,3,4,20,10,0.76,0.84,0.47,-1.004974791
WFG4,0.24,2.22,1.25,3,4,20,10,0.76,0.84,0.47,-0.933700131
DTLZ7,0.24,2.22,1.25,3,4,20,10,0.76,0.84,0.47,-0.971681263
WFG8,0.24,2.22,1.25,3,4,20,10,0.76,0.84,0.47,-0.877517135
WFG1,0.24,2.22,1.25,3,4,20,10,0.76,0.84,0.47,-0.544723017
DTLZ4,0.24,2.22,1.25,3,4,20,10,0.76,0.84,0.47,-0.98517413
DTLZ7,0.5,1.5,1.5,2,2,20,10,0.75,0.2,0.5,-0.982316581
Viennet3,0.5,1.5,1.5,2,2,20,10,0.75,0.2,0.5,-1.004410042
WFG8,0.5,1.5,1.5,2,2,20,10,0.75,0.2,0.5,-0.856251214
DTLZ4,0.5,1.5,1.5,2,2,20,10,0.75,0.2,0.5,-0.985294212
DTLZ2,0.24,2.22,1.25,3,4,20,10,0.76,0.84,0.47,-0.984251174
WFG4,0.53,1.76,1.57,3,2,10,20,0.68,0.32,0.43,-0.903682946
Viennet3,0.24,2.22,1.25,3,4,20,10,0.76,0.84,0.47,-1.004445879
Viennet3,0.76,0.9,1.13,2,4,8,25,0.78,0.54,0.19,-1.004246498
WFG4,0.24,2.22,1.25,3,4,20,10,0.76,0.84,0.47,-0.942457554
WFG4,0.65,2.03,0.91,2,3,25,8,0.55,0.27,0.27,-0.929402816
DTLZ7,0.24,2.22,1.25,3,4,20,10,0.76,0.84,0.47,-0.969973648
DTLZ2,0.27,1.17,2.35,4,4,20,10,0.86,0.89,0.3,-0.975374468
WFG1,0.24,2.22,1.25,3,4,20,10,0.76,0.84,0.47,-0.539931006
WFG8,0.57,1.32,2.09,4,2,25,8,0.73,0.12,0.49,-0.802624437
DTLZ4,0.24,2.22,1.25,3,4,20,10,0.76,0.84,0.47,-0.986418566
DTLZ2,0.34,2.46,0.64,2,4,20,10,0.64,0.75,0.13,-0.993397298
WFG8,0.34,2.46,0.64,2,4,20,10,0.64,0.75,0.13,-0.868040561
DTLZ7,0.34,2.46,0.64,2,4,20,10,0.64,0.75,0.13,-0.774603099
