Benchmark,Omega,C1,C2,EPnum,MPnum,Rows,Cols,Norm_Neg_HV
WFG4,0.43,1.65,2.46,2,3,25,8,-0.887224525
Viennet3,0.43,1.65,2.46,2,3,25,8,-1.004759147
WFG4,0.76,0.98,0.7,4,4,20,10,-0.929007243
Viennet3,0.76,0.98,0.7,4,4,20,10,-1.005101365
WFG4,0.5,1.5,1.5,2,2,20,10,-0.915682599
Viennet3,0.5,1.5,1.5,2,2,20,10,-1.004971549
WFG1,0.76,0.98,0.7,4,4,20,10,-0.525457401
Viennet3,0.58,2.04,1.71,3,2,10,20,-1.004988818
DTLZ2,0.76,0.98,0.7,4,4,20,10,-0.984864186
DTLZ2,0.25,1.34,1.44,2,3,8,25,-0.98582619
WFG4,0.25,1.34,1.44,2,3,8,25,-0.93161084
WFG1,0.25,1.34,1.44,2,3,8,25,-0.531427856
Viennet3,0.25,1.34,1.44,2,3,8,25,-1.004938502
WFG1,0.5,1.5,1.5,2,2,20,10,-0.536961379
DTLZ2,0.5,1.5,1.5,2,2,20,10,-0.984820158
DTLZ4,0.25,1.34,1.44,2,3,8,25,-0.982442407
WFG1,0.5,0.6,1.12,2,2,8,25,-0.527140283
WFG8,0.25,1.34,1.44,2,3,8,25,-0.872807142
WFG1,0.87,1.78,1.86,4,4,10,20,-0.486454554
DTLZ7,0.25,1.34,1.44,2,3,8,25,-0.971084426
DTLZ7,0.68,1.21,0.87,4,2,20,10,-0.875470051
DTLZ2,0.25,1.34,1.44,2,3,8,25,-0.985630418
WFG8,0.31,2.42,2.09,3,4,25,8,-0.813375857
Viennet3,0.25,1.34,1.44,2,3,8,25,-1.004921205
DTLZ4,0.2,1,1.93,3,2,20,10,-0.9861737
DTLZ7,0.2,1,1.93,3,2,20,10,-0.974546858
DTLZ2,0.2,1,1.93,3,2,20,10,-0.97999756
WFG8,0.2,1,1.93,3,2,20,10,-0.868565613
WFG1,0.2,1,1.93,3,2,20,10,-0.541914415
Viennet3,0.2,1,1.93,3,2,20,10,-1.005092124
WFG4,0.2,1,1.93,3,2,20,10,-0.923204617
WFG1,0.25,1.34,1.44,2,3,8,25,-0.537701983
DTLZ7,0.62,2.37,1.17,4,3,25,8,-0.983281184
Viennet3,0.62,2.37,1.17,4,3,25,8,-1.005015988
