Benchmark,Alpha_Penalty,Fr_Adaptation,Norm_Neg_HV
WFG1,9,0.44 ,-0.763090335
DTLZ7,9,0.44 ,-0.949895568
WFG1,3,0.27 ,-0.559211386
WFG4,9,0.44 ,-0.941884906
DTLZ7,5,0.39 ,-0.903105926
DTLZ4,9,0.44 ,-0.976741155
WFG1,7,0.11 ,-0.743710768
Viennet3,9,0.44 ,-0.999726965
DTLZ4,6,0.30 ,-0.97106745
DTLZ2,9,0.44 ,-0.972549156
DTLZ2,3,0.18 ,-0.964265375
WFG8,9,0.44 ,-0.85927538
WFG4,1,0.47 ,-0.884963686
DTLZ7,9,0.44 ,-0.944167209
WFG1,8,0.25 ,-0.650926691
WFG1,9,0.44 ,-0.687731993
Viennet3,7,0.35 ,-1.001413544
DTLZ7,7,0.35 ,-0.944235663
WFG8,7,0.35 ,-0.877415408
WFG1,7,0.35 ,-0.658477414
WFG4,7,0.35 ,-0.937534798
DTLZ7,7,0.35 ,-0.913556867
DTLZ4,7,0.35 ,-0.970089792
WFG4,9,0.44 ,-0.93736251
Viennet3,1,0.13 ,-0.999728891
DTLZ2,1,0.13 ,-0.949541806
DTLZ7,1,0.13 ,-0.870028036
DTLZ2,9,0.44 ,-0.969776948
Viennet3,3,0.42 ,-1.000143589
WFG1,3,0.42 ,-0.553941244
WFG4,3,0.42 ,-0.917511236
WFG8,9,0.44 ,-0.852820358
Viennet3,5,0.29 ,-1.000582933
WFG4,5,0.29 ,-0.936017226
WFG8,5,0.29 ,-0.85612888
Viennet3,9,0.44 ,-1.000558665
DTLZ7,7,0.49 ,-0.934471668
DTLZ4,9,0.44 ,-0.974829747
Viennet3,4,0.21 ,-1.001160429
WFG4,4,0.21 ,-0.937054928
DTLZ2,4,0.21 ,-0.970403423
WFG8,9,0.44 ,-0.875887823
WFG1,2,0.33 ,-0.583047902
Viennet3,9,0.44 ,-1.000410782
WFG1,9,0.16 ,-0.655485711
DTLZ2,9,0.44 ,-0.968028165
WFG8,9,0.35 ,-0.862266091
DTLZ7,9,0.44 ,-0.930920562
WFG8,2,0.17 ,-0.856380743
DTLZ4,9,0.44 ,-0.975659283
WFG8,4,0.48 ,-0.864196344
DTLZ4,4,0.48 ,-0.968372136
WFG4,4,0.48 ,-0.913013274
WFG4,9,0.44 ,-0.922468045
WFG8,7,0.21 ,-0.859730667
WFG1,7,0.21 ,-0.720226982
DTLZ2,7,0.21 ,-0.978121673
DTLZ2,7,0.21 ,-0.965710212
DTLZ4,7,0.21 ,-0.96734316
DTLZ4,7,0.21 ,-0.970163953
Viennet3,7,0.21 ,-1.000458127
WFG4,7,0.21 ,-0.941015052
DTLZ7,7,0.21 ,-0.907291893
DTLZ7,7,0.21 ,-0.950035082
WFG8,7,0.21 ,-0.860873292
DTLZ2,7,0.21 ,-0.969096384
WFG4,7,0.21 ,-0.941028559
Viennet3,7,0.21 ,-1.000465884
DTLZ4,7,0.21 ,-0.972422323
DTLZ7,7,0.21 ,-0.914306052
WFG1,7,0.21 ,-0.673659868
WFG8,7,0.21 ,-0.868336672
Viennet3,7,0.21 ,-1.000320486
WFG4,7,0.21 ,-0.941910394
WFG1,9,0.44 ,-0.693619384
DTLZ2,4,0.21 ,-0.969223643
WFG4,4,0.21 ,-0.931206946
WFG1,4,0.21 ,-0.627097325
WFG4,9,0.44 ,-0.938695889
DTLZ2,4,0.21 ,-0.97213093
WFG8,9,0.44 ,-0.866439294
WFG1,4,0.21 ,-0.706889809
WFG4,4,0.21 ,-0.929488035
Viennet3,4,0.21 ,-1.00067796
DTLZ7,4,0.21 ,-0.935962046
DTLZ7,4,0.21 ,-0.885927309
WFG4,4,0.21 ,-0.921528126
DTLZ4,4,0.21 ,-0.965324314
Viennet3,9,0.44 ,-1.00081771
DTLZ4,4,0.21 ,-0.967141517
DTLZ7,9,0.44 ,-0.954503351
WFG8,4,0.37 ,-0.869193996
WFG8,4,0.37 ,-0.852681405
WFG1,4,0.37 ,-0.63323749
WFG1,9,0.44 ,-0.720603824
DTLZ7,4,0.21 ,-0.93266863
DTLZ4,9,0.44 ,-0.972734863
Viennet3,2,0.42 ,-1.001079564
Viennet3,2,0.42 ,-0.999942565
WFG1,2,0.42 ,-0.597799558
DTLZ2,9,0.44 ,-0.974537625
DTLZ2,9,0.29 ,-0.968962932
WFG1,9,0.44 ,-0.628498542
WFG8,3,0.42 ,-0.862181735
WFG4,9,0.44 ,-0.939757272
Viennet3,2,0.44 ,-0.999812334
WFG4,2,0.44 ,-0.892319061
WFG4,2,0.44 ,-0.910575302
WFG8,9,0.44 ,-0.860058823
WFG4,1,0.36 ,-0.887396269
DTLZ7,9,0.44 ,-0.936060756
DTLZ2,2,0.42 ,-0.954710502
DTLZ4,9,0.44 ,-0.970320488
DTLZ4,1,0.42 ,-0.956450985
Viennet3,9,0.44 ,-1.000152991
DTLZ7,1,0.44 ,-0.887108362
DTLZ2,9,0.44 ,-0.976668124
DTLZ4,9,0.15 ,-0.97631845
DTLZ4,9,0.15 ,-0.974928615
WFG8,9,0.15 ,-0.866176046
