Benchmark,Omega,C1,C2,VRM,Eta_m,Norm_Neg_HV
WFG8,0.30 ,2.32 ,1.62 ,0.07 ,20,-0.657335199
Viennet3,0.30 ,2.32 ,1.62 ,0.07 ,20,-1.007440802
WFG8,0.88 ,1.23 ,0.73 ,0.01 ,50,-0.625684525
WFG1,0.30 ,2.32 ,1.62 ,0.07 ,20,-0.45961176
WFG8,0.41 ,0.76 ,2.47 ,0.04 ,10,-0.656588689
DTLZ2,0.30 ,2.32 ,1.62 ,0.07 ,20,-0.909895055
WFG8,0.61 ,1.68 ,1.37 ,0.08 ,20,-0.657076839
WFG4,0.30 ,2.32 ,1.62 ,0.07 ,20,-0.770249475
WFG8,0.64 ,1.97 ,2.23 ,0.09 ,50,-0.680861088
WFG4,0.64 ,1.97 ,2.23 ,0.09 ,50,-0.825285101
WFG1,0.64 ,1.97 ,2.23 ,0.09 ,50,-0.431598222
Viennet3,0.64 ,1.97 ,2.23 ,0.09 ,50,-1.007489313
DTLZ2,0.64 ,1.97 ,2.23 ,0.09 ,50,-0.921813343
WFG4,0.50 ,1.50 ,1.50 ,0.01 ,20,-0.749353796
Viennet3,0.50 ,1.50 ,1.50 ,0.01 ,20,-0.995926623
DTLZ2,0.50 ,1.50 ,1.50 ,0.01 ,20,-0.918277807
WFG1,0.50 ,1.50 ,1.50 ,0.01 ,20,-0.150257296
DTLZ7,0.64 ,1.97 ,2.23 ,0.09 ,50,-0.725775062
WFG1,0.54 ,0.60 ,1.11 ,0.03 ,10,-0.441679839
DTLZ7,0.54 ,0.60 ,1.11 ,0.03 ,10,-0.420225404
Viennet3,0.54 ,0.60 ,1.11 ,0.03 ,10,-1.006138596
DTLZ4,0.64 ,1.97 ,2.23 ,0.09 ,50,-0.437517336
DTLZ2,0.76 ,1.41 ,1.87 ,0.02 ,20,-0.897526374
Viennet3,0.64 ,1.97 ,2.23 ,0.09 ,50,-1.006606989
WFG4,0.26 ,2.04 ,0.97 ,0.06 ,10,-0.721331166
DTLZ2,0.64 ,1.97 ,2.23 ,0.09 ,50,-0.928110938
Viennet3,0.49 ,2.16 ,2.30 ,0.01 ,20,-1.006664133
WFG1,0.49 ,2.16 ,2.30 ,0.01 ,20,-0.317212861
DTLZ4,0.49 ,2.16 ,2.30 ,0.01 ,20,-0.72660454
WFG4,0.49 ,2.16 ,2.30 ,0.01 ,20,-0.736417824
DTLZ7,0.49 ,2.16 ,2.30 ,0.01 ,20,-0.547662723
DTLZ2,0.49 ,2.16 ,2.30 ,0.01 ,20,-0.926348725
Viennet3,0.49 ,2.16 ,2.30 ,0.01 ,20,-1.006809409
WFG1,0.64 ,1.97 ,2.23 ,0.09 ,50,-0.420867622
DTLZ2,0.69 ,1.28 ,1.42 ,0.07 ,10,-0.916938384
WFG4,0.64 ,1.97 ,2.23 ,0.09 ,50,-0.768043135
WFG8,0.22 ,0.73 ,1.66 ,0.09 ,50,-0.657981777
DTLZ4,0.64 ,1.97 ,2.23 ,0.09 ,50,-0.315029201
DTLZ2,0.80 ,1.84 ,0.56 ,0.05 ,20,-0.925917842
DTLZ7,0.80 ,1.84 ,0.56 ,0.05 ,20,-0.460749212
WFG4,0.80 ,1.84 ,0.56 ,0.05 ,20,-0.751060734
DTLZ7,0.64 ,1.97 ,2.23 ,0.09 ,50,-0.712673607
DTLZ4,0.84 ,1.55 ,1.92 ,0.04 ,10,-0.312166962
WFG8,0.64 ,1.97 ,2.23 ,0.09 ,50,-0.656252894
DTLZ7,0.34 ,0.88 ,0.80 ,0.10 ,50,-0.381352608
WFG4,0.64 ,1.97 ,2.23 ,0.09 ,50,-0.79509786
Viennet3,0.56 ,1.11 ,2.06 ,0.06 ,20,-1.007152717
WFG4,0.56 ,1.11 ,2.06 ,0.06 ,20,-0.738795333
DTLZ4,0.56 ,1.11 ,2.06 ,0.06 ,20,-0.56692358
DTLZ7,0.56 ,1.11 ,2.06 ,0.06 ,20,-0.668608185
WFG1,0.56 ,1.11 ,2.06 ,0.06 ,20,-0.446797849
WFG4,0.56 ,1.11 ,2.06 ,0.06 ,20,-0.747573433
DTLZ2,0.56 ,1.11 ,2.06 ,0.06 ,20,-0.93980735
Viennet3,0.56 ,1.11 ,2.06 ,0.06 ,20,-1.007469304
DTLZ7,0.56 ,1.11 ,2.06 ,0.06 ,20,-0.460749212
WFG8,0.56 ,1.11 ,2.06 ,0.06 ,20,-0.648217392
WFG4,0.56 ,1.11 ,2.06 ,0.06 ,20,-0.69979115
WFG8,0.56 ,1.11 ,2.06 ,0.06 ,20,-0.655288458
WFG1,0.56 ,1.11 ,2.06 ,0.06 ,20,-0.467182688
DTLZ4,0.56 ,1.11 ,2.06 ,0.06 ,20,-0.295404222
DTLZ2,0.56 ,1.11 ,2.06 ,0.06 ,20,-0.930621718
DTLZ4,0.64 ,1.97 ,2.23 ,0.09 ,50,-0.661312732
DTLZ7,0.46 ,2.45 ,1.16 ,0.02 ,50,-0.556024936
Viennet3,0.64 ,1.97 ,2.23 ,0.09 ,50,-1.007290574
DTLZ4,0.74 ,2.42 ,2.06 ,0.08 ,10,-0.49598213
DTLZ2,0.74 ,2.42 ,2.06 ,0.08 ,10,-0.846372292
DTLZ4,0.74 ,2.42 ,2.06 ,0.08 ,10,-0.432940658
DTLZ7,0.64 ,1.97 ,2.23 ,0.09 ,50,-0.723747289
WFG8,0.29 ,1.02 ,1.22 ,0.04 ,20,-0.661534003
WFG8,0.64 ,1.97 ,2.23 ,0.09 ,50,-0.683142434
WFG1,0.66 ,0.98 ,1.96 ,0.00 ,20,-0.167877931
WFG1,0.64 ,1.97 ,2.23 ,0.09 ,50,-0.438878241
WFG1,0.51 ,1.58 ,0.83 ,0.06 ,50,-0.44985675
WFG8,0.51 ,1.58 ,0.83 ,0.06 ,50,-0.649998927
DTLZ7,0.51 ,1.58 ,0.83 ,0.06 ,50,-0.262670114
DTLZ2,0.64 ,1.97 ,2.23 ,0.09 ,50,-0.946294546
DTLZ4,0.40 ,1.81 ,1.71 ,0.05 ,50,-0.300629066
DTLZ7,0.64 ,1.97 ,2.23 ,0.09 ,50,-0.719407479
WFG8,0.63 ,0.63 ,0.57 ,0.01 ,10,-0.636921742
WFG8,0.64 ,1.97 ,2.23 ,0.09 ,50,-0.679090095
DTLZ2,0.32 ,1.37 ,2.32 ,0.03 ,50,-0.893251675
DTLZ4,0.64 ,1.97 ,2.23 ,0.09 ,50,-0.540126097
DTLZ2,0.86 ,2.19 ,1.46 ,0.09 ,20,-0.917738126
WFG4,0.64 ,1.97 ,2.23 ,0.09 ,50,-0.786469732
WFG4,0.59 ,2.07 ,1.76 ,0.04 ,50,-0.735765509
WFG1,0.64 ,1.97 ,2.23 ,0.09 ,50,-0.412914055
DTLZ2,0.44 ,1.49 ,0.90 ,0.08 ,20,-0.944782765
DTLZ2,0.44 ,1.49 ,0.90 ,0.08 ,20,-0.89369583
DTLZ7,0.44 ,1.49 ,0.90 ,0.08 ,20,-0.272056174
DTLZ2,0.64 ,1.97 ,2.23 ,0.09 ,50,-0.960533694
WFG1,0.81 ,0.50 ,2.15 ,0.07 ,20,-0.492158711
DTLZ7,0.81 ,0.50 ,2.15 ,0.07 ,20,-0.71625761
DTLZ7,0.81 ,0.50 ,2.15 ,0.07 ,20,-0.718307885
WFG4,0.81 ,0.50 ,2.15 ,0.07 ,20,-0.732967812
WFG8,0.81 ,0.50 ,2.15 ,0.07 ,20,-0.693226751
Viennet3,0.81 ,0.50 ,2.15 ,0.07 ,20,-1.007304515
DTLZ4,0.81 ,0.50 ,2.15 ,0.07 ,20,-0.366465803
Viennet3,0.64 ,1.97 ,2.23 ,0.09 ,50,-1.007309694
DTLZ2,0.36 ,1.93 ,1.01 ,0.01 ,10,-0.923890323
DTLZ4,0.64 ,1.97 ,2.23 ,0.09 ,50,-0.787271029
WFG4,0.24 ,1.71 ,2.41 ,0.02 ,10,-0.73604126
DTLZ7,0.64 ,1.97 ,2.23 ,0.09 ,50,-0.597077565
WFG8,0.78 ,0.86 ,1.25 ,0.06 ,50,-0.659668142
Viennet3,0.78 ,0.86 ,1.25 ,0.06 ,50,-1.00727939
DTLZ7,0.78 ,0.86 ,1.25 ,0.06 ,50,-0.460749212
DTLZ2,0.64 ,1.97 ,2.23 ,0.09 ,50,-0.946539149
DTLZ2,0.47 ,1.15 ,1.51 ,0.09 ,10,-0.916933843
WFG1,0.64 ,1.97 ,2.23 ,0.09 ,50,-0.440630629
WFG1,0.71 ,2.29 ,0.64 ,0.03 ,20,-0.34373003
WFG8,0.64 ,1.97 ,2.23 ,0.09 ,50,-0.684937581
DTLZ7,0.88 ,2.28 ,2.46 ,0.05 ,50,-0.679156656
WFG4,0.64 ,1.97 ,2.23 ,0.09 ,50,-0.757253422
WFG4,0.32 ,1.16 ,1.32 ,0.02 ,10,-0.70756398
Viennet3,0.64 ,1.97 ,2.23 ,0.09 ,50,-1.007328972
WFG1,0.62 ,0.84 ,1.57 ,0.03 ,20,-0.36455516
DTLZ7,0.64 ,1.97 ,2.23 ,0.09 ,50,-0.599272914
WFG1,0.38 ,1.72 ,0.71 ,0.09 ,10,-0.429337238
WFG8,0.64 ,1.97 ,2.23 ,0.09 ,50,-0.671885936
DTLZ7,0.52 ,1.88 ,1.82 ,0.08 ,20,-0.696970821
Viennet3,0.64 ,1.97 ,2.23 ,0.09 ,50,-1.00739779
DTLZ2,0.59 ,0.94 ,1.44 ,0.06 ,10,-0.930511997
WFG1,0.64 ,1.97 ,2.23 ,0.09 ,50,-0.441153072
DTLZ7,0.77 ,1.35 ,1.48 ,0.01 ,50,-0.498705424
DTLZ4,0.64 ,1.97 ,2.23 ,0.09 ,50,-0.60824775
WFG1,0.68 ,0.85 ,1.38 ,0.07 ,50,-0.444136104
WFG8,0.68 ,0.85 ,1.38 ,0.07 ,50,-0.65160601
WFG8,0.68 ,0.85 ,1.38 ,0.07 ,50,-0.661210196
DTLZ2,0.64 ,1.97 ,2.23 ,0.09 ,50,-0.925112058
DTLZ7,0.73 ,1.67 ,0.51 ,0.03 ,20,-0.481733456
WFG4,0.64 ,1.97 ,2.23 ,0.09 ,50,-0.718650198
WFG8,0.69 ,1.09 ,1.43 ,0.09 ,10,-0.635339133
WFG8,0.64 ,1.97 ,2.23 ,0.09 ,50,-0.691182663
DTLZ7,0.75 ,1.87 ,1.52 ,0.05 ,50,-0.56129379
Viennet3,0.64 ,1.97 ,2.23 ,0.09 ,50,-1.007526625
DTLZ2,0.32 ,0.60 ,1.81 ,0.01 ,50,-0.892165081
DTLZ2,0.64 ,1.97 ,2.23 ,0.09 ,50,-0.955029966
WFG4,0.20 ,0.55 ,2.33 ,0.02 ,50,-0.743638822
DTLZ4,0.20 ,0.55 ,2.33 ,0.02 ,50,-0.509881503
WFG8,0.20 ,0.55 ,2.33 ,0.02 ,50,-0.650269979
WFG4,0.64 ,1.97 ,2.23 ,0.09 ,50,-0.794241859
WFG4,0.50 ,2.31 ,1.91 ,0.09 ,10,-0.746553495
DTLZ4,0.64 ,1.97 ,2.23 ,0.09 ,50,-0.714831429
WFG4,0.80 ,0.68 ,0.84 ,0.00 ,10,-0.682899786
DTLZ7,0.64 ,1.97 ,2.23 ,0.09 ,50,-0.727591869
WFG4,0.68 ,0.96 ,1.60 ,0.06 ,10,-0.704401981
WFG1,0.64 ,1.97 ,2.23 ,0.09 ,50,-0.396867483
DTLZ4,0.49 ,0.91 ,1.12 ,0.01 ,10,-0.724290019
WFG8,0.49 ,0.91 ,1.12 ,0.01 ,10,-0.641901198
Viennet3,0.49 ,0.91 ,1.12 ,0.01 ,10,-1.006485993
Viennet3,0.49 ,0.91 ,1.12 ,0.01 ,10,-1.007260913
