Benchmark_Instance,Omega,C1,C2,Rows,Cols,Norm_Neg_HV
DTLZ4,0.83 ,0.53 ,2.05 ,10,20,-0.770052639
DTLZ2,0.83 ,0.53 ,2.05 ,10,20,-0.953801264
DTLZ2,0.43 ,1.87 ,1.10 ,25,8,-0.987219168
DTLZ4,0.43 ,1.87 ,1.10 ,25,8,-0.959124948
DTLZ2,0.50 ,1.50 ,1.50 ,20,10,-0.97905123
DTLZ4,0.50 ,1.50 ,1.50 ,20,10,-0.9762243
Viennet3,0.50 ,1.50 ,1.50 ,20,10,-1.004963224
DTLZ4,0.70 ,2.05 ,1.62 ,20,10,-0.833342925
DTLZ7,0.50 ,1.50 ,1.50 ,20,10,-0.648078551
DTLZ2,0.21 ,1.36 ,0.53 ,8,25,-0.968833573
WFG8,0.50 ,1.50 ,1.50 ,20,10,-0.850147127
WFG8,0.30 ,1.18 ,2.00 ,25,8,-0.824802667
WFG4,0.50 ,1.50 ,1.50 ,20,10,-0.913876054
WFG4,0.62 ,2.47 ,0.91 ,10,20,-0.933529894
Viennet3,0.62 ,2.47 ,0.91 ,10,20,-1.00506069
DTLZ2,0.62 ,2.47 ,0.91 ,10,20,-0.984157301
WFG8,0.62 ,2.47 ,0.91 ,10,20,-0.873809398
DTLZ7,0.62 ,2.47 ,0.91 ,10,20,-0.540243552
DTLZ4,0.62 ,2.47 ,0.91 ,10,20,-0.981232263
WFG1,0.50 ,1.50 ,1.50 ,20,10,-0.52464807
DTLZ7,0.53 ,1.68 ,2.42 ,8,25,-0.995786338
DTLZ2,0.53 ,1.68 ,2.42 ,8,25,-0.955184593
DTLZ4,0.53 ,1.68 ,2.42 ,8,25,-0.739540401
WFG8,0.53 ,1.68 ,2.42 ,8,25,-0.787866645
WFG4,0.53 ,1.68 ,2.42 ,8,25,-0.881130232
WFG1,0.53 ,1.68 ,2.42 ,8,25,-0.518853072
Viennet3,0.53 ,1.68 ,2.42 ,8,25,-1.004841805
DTLZ7,0.50 ,1.50 ,1.50 ,20,10,-0.990817067
DTLZ7,0.74 ,0.98 ,1.48 ,20,10,-0.994386067
DTLZ4,0.74 ,0.98 ,1.48 ,20,10,-0.972682212
Viennet3,0.74 ,0.98 ,1.48 ,20,10,-1.005062575
DTLZ7,0.74 ,0.98 ,1.48 ,20,10,-0.540243552
WFG8,0.74 ,0.98 ,1.48 ,20,10,-0.818694885
DTLZ2,0.74 ,0.98 ,1.48 ,20,10,-0.974334429
WFG4,0.74 ,0.98 ,1.48 ,20,10,-0.904684983
DTLZ4,0.50 ,1.50 ,1.50 ,20,10,-0.986513912
Viennet3,0.58 ,0.78 ,1.73 ,8,25,-1.005055504
DTLZ4,0.58 ,0.78 ,1.73 ,8,25,-0.933159811
WFG8,0.58 ,0.78 ,1.73 ,8,25,-0.83262991
WFG1,0.50 ,1.50 ,1.50 ,20,10,-0.511784953
