Benchmark,Omega,C1,C2,Age_Threshold,Penalty_Value,Norm_Neg_HV
WFG8,0.68 ,1.66 ,1.52 ,4.73 ,1,-0.812771188
WFG4,0.68 ,1.66 ,1.52 ,4.73 ,1,-0.897526309
WFG8,0.42 ,0.87 ,1.47 ,2.56 ,10,-0.853888544
WFG4,0.42 ,0.87 ,1.47 ,2.56 ,10,-0.93063336
WFG8,0.50 ,1.50 ,1.50 ,3.00 ,2,-0.839439878
WFG4,0.50 ,1.50 ,1.50 ,3.00 ,2,-0.905313433
DTLZ2,0.42 ,0.87 ,1.47 ,2.56 ,10,-0.975425718
WFG8,0.86 ,2.10 ,2.36 ,3.26 ,5,-0.76350936
WFG1,0.42 ,0.87 ,1.47 ,2.56 ,10,-0.505972641
WFG1,0.25 ,1.42 ,0.65 ,4.10 ,2,-0.462673153
DTLZ7,0.42 ,0.87 ,1.47 ,2.56 ,10,-0.985617925
DTLZ2,0.32 ,2.32 ,1.09 ,3.82 ,2,-0.980528644
DTLZ7,0.32 ,2.32 ,1.09 ,3.82 ,2,-0.87240215
WFG4,0.32 ,2.32 ,1.09 ,3.82 ,2,-0.924416717
Viennet3,0.42 ,0.87 ,1.47 ,2.56 ,10,-1.005723249
WFG4,0.75 ,1.14 ,1.89 ,2.80 ,5,-0.868672176
DTLZ4,0.42 ,0.87 ,1.47 ,2.56 ,10,-0.989052733
WFG8,0.49 ,1.88 ,0.78 ,2.28 ,10,-0.838868299
WFG8,0.42 ,0.87 ,1.47 ,2.56 ,10,-0.861994911
WFG8,0.57 ,0.58 ,2.23 ,4.26 ,1,-0.768178857
Viennet3,0.42 ,0.87 ,1.47 ,2.56 ,10,-1.005813538
WFG8,0.79 ,2.16 ,0.92 ,4.62 ,10,-0.826078079
DTLZ7,0.42 ,0.87 ,1.47 ,2.56 ,10,-0.990952552
Viennet3,0.35 ,1.37 ,2.09 ,2.09 ,1,-1.005742185
WFG1,0.42 ,0.87 ,1.47 ,2.56 ,10,-0.513721228
DTLZ7,0.61 ,1.61 ,1.20 ,3.09 ,2,-0.99232609
DTLZ4,0.61 ,1.61 ,1.20 ,3.09 ,2,-0.970328189
WFG1,0.61 ,1.61 ,1.20 ,3.09 ,2,-0.51081255
DTLZ4,0.42 ,0.87 ,1.47 ,2.56 ,10,-0.970838479
DTLZ7,0.52 ,0.94 ,1.78 ,3.55 ,5,-0.990343963
WFG4,0.42 ,0.87 ,1.47 ,2.56 ,10,-0.915425851
DTLZ2,0.41 ,1.82 ,2.47 ,4.02 ,5,-0.929841791
DTLZ2,0.42 ,0.87 ,1.47 ,2.56 ,10,-0.977915605
WFG4,0.67 ,0.65 ,0.54 ,3.37 ,2,-0.93305418
WFG1,0.67 ,0.65 ,0.54 ,3.37 ,2,-0.511281543
DTLZ4,0.67 ,0.65 ,0.54 ,3.37 ,2,-0.949792407
DTLZ7,0.42 ,0.87 ,1.47 ,2.56 ,10,-0.991260573
Viennet3,0.24 ,2.38 ,1.66 ,2.55 ,1,-1.00582654
DTLZ7,0.24 ,2.38 ,1.66 ,2.55 ,1,-0.984969453
DTLZ4,0.24 ,2.38 ,1.66 ,2.55 ,1,-0.969933373
WFG8,0.42 ,0.87 ,1.47 ,2.56 ,10,-0.86483927
WFG4,0.85 ,1.09 ,1.33 ,4.90 ,10,-0.894156014
WFG4,0.42 ,0.87 ,1.47 ,2.56 ,10,-0.922179215
DTLZ4,0.47 ,2.45 ,2.02 ,4.94 ,2,-0.865421622
WFG1,0.42 ,0.87 ,1.47 ,2.56 ,10,-0.493524101
WFG4,0.56 ,1.03 ,0.97 ,2.42 ,5,-0.926462261
DTLZ4,0.56 ,1.03 ,0.97 ,2.42 ,5,-0.976969009
WFG8,0.56 ,1.03 ,0.97 ,2.42 ,5,-0.84935169
Viennet3,0.56 ,1.03 ,0.97 ,2.42 ,5,-1.005900328
DTLZ4,0.56 ,1.03 ,0.97 ,2.42 ,5,-0.964812889
Viennet3,0.56 ,1.03 ,0.97 ,2.42 ,5,-1.005865345
WFG4,0.56 ,1.03 ,0.97 ,2.42 ,5,-0.927608023
Viennet3,0.42 ,0.87 ,1.47 ,2.56 ,10,-1.005758567
WFG1,0.30 ,1.76 ,1.85 ,3.41 ,10,-0.496505471
DTLZ4,0.42 ,0.87 ,1.47 ,2.56 ,10,-0.983128649
WFG8,0.74 ,0.71 ,1.15 ,3.88 ,1,-0.845924042
DTLZ2,0.42 ,0.87 ,1.47 ,2.56 ,10,-0.973723109
WFG8,0.90 ,1.54 ,0.60 ,3.60 ,1,-0.840524157
WFG4,0.42 ,0.87 ,1.47 ,2.56 ,10,-0.926708272
WFG4,0.28 ,0.99 ,2.40 ,2.94 ,10,-0.866796991
DTLZ4,0.42 ,0.87 ,1.47 ,2.56 ,10,-0.97727829
WFG1,0.72 ,2.23 ,1.28 ,2.14 ,5,-0.47569762
WFG8,0.42 ,0.87 ,1.47 ,2.56 ,10,-0.868460101
Viennet3,0.45 ,1.31 ,1.73 ,4.47 ,2,-1.005693388
DTLZ7,0.42 ,0.87 ,1.47 ,2.56 ,10,-0.988948636
DTLZ4,0.21 ,1.94 ,1.42 ,4.40 ,5,-0.983411219
WFG8,0.21 ,1.94 ,1.42 ,4.40 ,5,-0.867416987
DTLZ2,0.21 ,1.94 ,1.42 ,4.40 ,5,-0.979245081
Viennet3,0.21 ,1.94 ,1.42 ,4.40 ,5,-1.005613913
DTLZ7,0.21 ,1.94 ,1.42 ,4.40 ,5,-0.975196589
WFG1,0.21 ,1.94 ,1.42 ,4.40 ,5,-0.513177919
DTLZ4,0.21 ,1.94 ,1.42 ,4.40 ,5,-0.961848014
WFG1,0.42 ,0.87 ,1.47 ,2.56 ,10,-0.517198445
DTLZ4,0.82 ,0.52 ,1.59 ,2.24 ,2,-0.88805236
DTLZ2,0.42 ,0.87 ,1.47 ,2.56 ,10,-0.976458682
WFG8,0.38 ,2.26 ,0.71 ,2.93 ,1,-0.825426038
Viennet3,0.42 ,0.87 ,1.47 ,2.56 ,10,-1.005727644
DTLZ4,0.64 ,1.21 ,2.29 ,3.78 ,10,-0.876957354
Viennet3,0.42 ,0.87 ,1.47 ,2.56 ,10,-1.005769255
DTLZ7,0.62 ,2.04 ,1.96 ,4.24 ,10,-0.995183219
Viennet3,0.62 ,2.04 ,1.96 ,4.24 ,10,-1.004658376
WFG1,0.62 ,2.04 ,1.96 ,4.24 ,10,-0.491524306
DTLZ2,0.42 ,0.87 ,1.47 ,2.56 ,10,-0.981621048
WFG4,0.53 ,1.49 ,1.04 ,3.21 ,1,-0.935173323
WFG1,0.53 ,1.49 ,1.04 ,3.21 ,1,-0.513435647
Viennet3,0.53 ,1.49 ,1.04 ,3.21 ,1,-1.005816147
DTLZ4,0.53 ,1.49 ,1.04 ,3.21 ,1,-0.975304803
WFG4,0.53 ,1.49 ,1.04 ,3.21 ,1,-0.93431623
Viennet3,0.53 ,1.49 ,1.04 ,3.21 ,1,-1.005868024
WFG8,0.53 ,1.49 ,1.04 ,3.21 ,1,-0.862944357
WFG8,0.53 ,1.49 ,1.04 ,3.21 ,1,-0.864776738
DTLZ4,0.53 ,1.49 ,1.04 ,3.21 ,1,-0.973253673
DTLZ2,0.53 ,1.49 ,1.04 ,3.21 ,1,-0.97788679
WFG8,0.53 ,1.49 ,1.04 ,3.21 ,1,-0.860781817
